ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.AddHttpRequestTypeParameter,Add `HttpRequest` type parameter for implemented interfaces,Add an `HttpRequest` type parameter to a class `implements` statement for interfaces that have been generically parameterized where they previously specified `HttpRequest` explicitly.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.AddTestResourcesClientDependencyIfNeeded,Add `micronaut-test-resources-client` if needed,Add the `micronaut-test-resources-client` dependency to pom.xml if `test.resources.client.enabled property=true`.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.BeanPropertyCapitalizationStrategy,De-capitalize `BeanIntrospection` `getProperty(..)` and `getRequiredProperty(..)` name arguments,As of Micronaut 3.x property names for getters like `getXForwarded()` are de-capitalized from `XForwarded` to `xForwarded`.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.ChangeAnnotationProcessorPath,Change Maven annotation processor path,"Change the groupId, artifactId, and version of a Maven annotation processor path.",1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,"[{""name"":""oldGroupId"",""type"":""String"",""displayName"":""Old groupId"",""description"":""The old groupId to replace. The groupId is the first part of a plugin coordinate 'com.google.guava:guava:VERSION'. Supports glob expressions."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""oldArtifactId"",""type"":""String"",""displayName"":""Old artifactId"",""description"":""The old artifactId to replace. The artifactId is the second part of a plugin coordinate 'com.google.guava:guava:VERSION'. Supports glob expressions."",""example"":""my-deprecated-annotation-processor"",""required"":true},{""name"":""newGroupId"",""type"":""String"",""displayName"":""New groupId"",""description"":""The new groupId to use. Defaults to the existing group id."",""example"":""corp.internal.openrewrite.recipe""},{""name"":""newArtifactId"",""type"":""String"",""displayName"":""New artifactId"",""description"":""The new artifactId to use. Defaults to the existing artifact id."",""example"":""my-new-annotation-processor""},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An version string for the annotation processor path. Version strings that start with 'micronaut.' will be treated specially. "",""example"":""micronaut.validation""},{""name"":""exclusions"",""type"":""List"",""displayName"":""Exclusions"",""description"":""A list of exclusions to apply to the annotation processor path in the format groupId:artifactId"",""example"":""io.micronaut:micronaut-inject""}]",
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.FindPropertiesConfig,Find Micronaut properties config,Find Micronaut properties configuration files.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.FindYamlConfig,Find Micronaut yaml config,Find Micronaut yaml configuration files.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.FixDeprecatedExceptionHandlerConstructors,Fix deprecated no-arg `ExceptionHandler` constructors,Adds `ErrorResponseProcessor` argument to deprecated no-arg `ExceptionHandler` constructors.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.OncePerRequestHttpServerFilterToHttpServerFilter,Convert `OncePerRequestServerFilter` extensions to `HttpServerFilter`,Starting in Micronaut 3.0 all filters are executed once per request. Directly implement `HttpServerFilter` instead of extending `OncePerRequestHttpServerFilter` and replace any usages of `micronaut.once` attributes with a custom attribute name.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.ProviderImplementationsToMicronautFactories,`Provider` implementation beans to Micronaut `@Factory`,As of Micronaut 3.x the `@Factory` annotation is required for creating beans from `javax.inject.Provider get()` implementations.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.RemoveAnnotationProcessorPath,Remove Maven annotation processor path,Remove the Maven annotation processor path that matches the given groupId and artifactId.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,"[{""name"":""groupId"",""type"":""String"",""displayName"":""GroupId"",""description"":""The groupId to use."",""example"":""corp.internal.openrewrite.recipe"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""ArtifactId"",""description"":""The artifactId to use."",""example"":""my-new-annotation-processor"",""required"":true}]",
